Date (GMT+2),DE (TenneT) Load decrease (current-induced),DE (TenneT) Load decrease (voltage-induced)
,Energy (MWh),Energy (MWh)
2024-10-21T10:45+02:00,-300,
2024-10-21T11:00+02:00,-368,
2024-10-21T11:15+02:00,-364,
2024-10-21T11:30+02:00,-361.5,
2024-10-21T11:45+02:00,-361.5,
2024-10-21T12:00+02:00,-356,
2024-10-21T12:15+02:00,-351,
2024-10-21T12:30+02:00,-346,
2024-10-21T12:45+02:00,-343.5,
2024-10-21T13:00+02:00,-339.25,
2024-10-21T13:15+02:00,-331.75,
2024-10-21T13:30+02:00,-324.25,
2024-10-21T13:45+02:00,-316.75,
2024-10-21T14:00+02:00,-297.5,
2024-10-21T14:15+02:00,-292.5,
2024-10-21T14:30+02:00,-287.5,
2024-10-21T14:45+02:00,-280,
2024-10-21T15:00+02:00,-295,
2024-10-21T15:15+02:00,-290,
2024-10-21T15:30+02:00,-280,
2024-10-21T15:45+02:00,-272.5,
2024-10-21T16:00+02:00,-133.643,
2024-10-21T16:15+02:00,-133.75,
2024-10-21T16:30+02:00,-129,
2024-10-21T16:45+02:00,-110.75,
2024-10-21T17:00+02:00,-100,
2024-10-21T17:15+02:00,-99.90275,
2024-10-21T17:30+02:00,-99.76525,
2024-10-21T17:45+02:00,-99.82625,
2024-10-21T18:00+02:00,-12.5,
2024-10-21T18:15+02:00,-12.5,
2024-10-21T18:30+02:00,-12.5,
2024-10-21T18:45+02:00,-12.5,
2024-10-21T19:00+02:00,-12.5,
2024-10-21T19:15+02:00,-12.5,
2024-10-21T19:30+02:00,-12.5,
2024-10-21T19:45+02:00,-12.5,
2024-10-21T20:00+02:00,-12.5,
2024-10-21T20:15+02:00,-12.5,
2024-10-21T20:30+02:00,-12.5,
2024-10-21T20:45+02:00,-12.5,
2024-10-21T21:00+02:00,-12.5,
2024-10-21T21:15+02:00,-12.5,
2024-10-21T21:30+02:00,-12.5,
2024-10-21T21:45+02:00,-12.5,
2024-10-21T22:00+02:00,-12.5,
2024-10-21T22:15+02:00,-12.5,
2024-10-21T22:30+02:00,-12.5,
2024-10-21T22:45+02:00,-12.5,
2024-10-21T23:00+02:00,-12.5,
2024-10-21T23:15+02:00,-12.5,
2024-10-21T23:30+02:00,-12.5,
2024-10-21T23:45+02:00,-12.5,
2024-10-22T00:00+02:00,,
2024-10-22T00:15+02:00,,
2024-10-22T00:30+02:00,,
2024-10-22T00:45+02:00,,
2024-10-22T01:00+02:00,,
2024-10-22T01:15+02:00,,
2024-10-22T01:30+02:00,,
2024-10-22T01:45+02:00,,
2024-10-22T02:00+02:00,,
2024-10-22T02:15+02:00,,
2024-10-22T02:30+02:00,,
2024-10-22T02:45+02:00,,
2024-10-22T03:00+02:00,,
2024-10-22T03:15+02:00,,
2024-10-22T03:30+02:00,,
2024-10-22T03:45+02:00,,
2024-10-22T04:00+02:00,,
2024-10-22T04:15+02:00,,
2024-10-22T04:30+02:00,,
2024-10-22T04:45+02:00,,
2024-10-22T05:00+02:00,,
2024-10-22T05:15+02:00,,
2024-10-22T05:30+02:00,,
2024-10-22T05:45+02:00,,
2024-10-22T06:00+02:00,-12.5,
2024-10-22T06:15+02:00,-25,
2024-10-22T06:30+02:00,-25,
2024-10-22T06:45+02:00,-37.5,
2024-10-22T07:00+02:00,-50,
2024-10-22T07:15+02:00,-50,
2024-10-22T07:30+02:00,-50,
2024-10-22T07:45+02:00,-50,
2024-10-22T08:00+02:00,-87.5,
